gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
UL46	L	cluster_3	17938.442818	16949.152542	6195.786865	17866.526538	19404.915913	11460.855528	5063.767623	30303.030303	3236.245955	7629.107981	5650.4776	7841.855906	0	6637.168142	5112.383709	4454.342984	2220.57735	7338.225484	13049.588437	12632.58888	5081.170906	6594.965675	0	8689.355539	8524.803118	7758.127082	7916.701389
UL27	L	cluster_1	6063.403479	10785.824345	3717.472119	14188.124015	12074.169901	4164.648911	0	10101.010101	12944.983819	3521.12676	4305.12579	4819.473942	0	4424.778762	7050.857638	4454.342984	1480.3849	5336.891261	7127.082916	6342.945472	0	9578.947369	0	4706.734252	2882.195339	3282.284535	8973.723567
UL28	E	cluster_2	41.96127	0	0	525.486075	0	0	17.924841	0	0	0	269.070362	81.685999	0	0	27.30245	0	0	0	0	26.651031	0	0	0	362.056481	40.594301	24.193743	13.157952
UL29	E	cluster_2	0	0	1239.157373	0	0	0	0	0	6472.491909	2347.41784	1345.35181	0	0	0	0	0	1480.3849	2668.445631	200.7629	0	0	0	0	7241.129617	0	0	0
UL30	E	cluster_2	90.916085	6163.328196	0	0	776.196637	258.2728	161.32357	0	0	586.85446	538.140724	1225.289985	0	2212.389381	0	2227.171492	0	2668.445631	301.144349	213.208251	191.742299	0	0	1086.169443	243.565804	64.516649	192.983302
UL31	L	cluster_7	23197.588628	6163.328196	12391.57373	20493.95691	21129.797327	26311.541564	0	0	16181.229774	23474.178403	17624.108704	26221.205685	0	8849.557523	27991.836568	0	13323.4641	10673.782522	12949.206988	15164.436863	30838.552986	27654.462243	0	7603.186098	26589.266867	24846.974571	31329.084776
UL32	L	cluster_1	538.502962	0	0	525.486075	0	322.841001	0	0	0	0	134.535181	163.371998	0	0	163.814698	0	0	0	501.907249	0	383.484596	260.869565	0	0	121.782902	225.808273	377.194636
UL33	E	cluster_8	20.980635	0	0	0	172.488141	64.5682	17.924841	0	0	0	0	163.371998	0	0	0	0	0	0	200.7629	53.302062	63.914099	0	0	0	0	16.129162	0
UL34	E		0	12326.656394	4956.629492	17866.526538	0	0	0	10101.010101	22653.721683	16431.924882	0	0	0	13274.336283	0	6681.514477	16284.233901	22681.787859	0	0	0	0	0	0	0	0	0
UL35	L	cluster_1	75712.117715	1540.832049	2478.314746	15239.096165	21388.52954	46618.240517	89561.468761	0	3236.245955	28755.868544	46280.102247	42313.347492	0	2212.389381	95128.56041	0	11843.0792	6004.002669	20678.578599	36378.657854	65959.350633	80899.313501	0	18826.937003	25290.24925	48387.486995	60930.091796
UL36	L	cluster_1	748.309311	0	0	525.486075	86.244071	322.841001	98.586626	0	0	0	0	163.371998	0	0	750.817367	0	0	0	401.525799	133.255157	575.226895	405.034325	0	0	40.594301	129.033299	543.862035
UL37	L	cluster_1	2706.5019	0	0	1050.972149	1466.149202	0	394.346505	0	3236.245955	586.85446	403.605543	735.173991	0	0	914.632065	2227.171492	0	667.111408	501.90725	1145.99435	926.754442	695.652174	0	0	568.320208	830.651859	1166.671784
UL38	E	cluster_7	11238.626748	10785.824346	6195.786865	11035.207567	12764.122467	11848.264729	8388.825654	0	19417.475728	8215.962442	5919.547961	6943.309916	0	2212.389381	9822.056283	6681.514476	7401.9245	4669.779853	10740.815098	12259.474442	10130.384763	16272.311212	0	9413.468501	18592.189656	18113.049299	13666.726608
UL39	E	cluster_2	349.677248	6163.328197	1239.157373	0	1811.125485	0	241.985355	10101.010101	9708.737864	1760.56338	0	490.115994	0	0	116.035412	0	1480.3849	3335.557039	0	346.463408	383.484596	80.091534	0	1086.169443	40.594301	153.227041	241.229128
UL40	E	cluster_6	18833.616573	46224.961479	42131.350682	24697.845508	19146.183699	42001.614204	15764.897784	70707.070707	84142.394822	56924.882628	0	25567.717693	64516.129032	61946.902655	10975.584784	46770.601336	59955.588453	38025.350234	0	13245.562603	23967.787294	3256.292907	14619.883041	38015.930485	48185.434764	19548.544745	16837.793148
UL41	L	cluster_5	2748.463168	16949.152542	9913.258984	4729.374672	5605.864597	6521.388216	3100.997517	0	3236.245955	5868.544601	5112.336877	5881.391929	0	11061.946903	2197.847202	22271.714922	8142.11695	4669.779853	4416.783778	3677.842333	4569.858111	2661.327231	8771.929824	5792.903693	5358.447675	6193.598335	5557.041917
UL42	L	cluster_3	7280.280301	0	6195.786865	9458.749343	8883.139286	6521.388216	6721.815429	10101.010101	16181.229774	4694.83568	5112.336877	8168.599901	0	22123.893806	4259.182155	2227.171492	20725.3886	8672.448301	7930.134512	8181.866638	5752.26895	6631.578947	0	6879.073136	10067.386541	7548.44797	7504.418879
UL43	L	cluster_3	4238.088245	18489.984592	4956.629492	8933.263269	10694.264771	7877.320419	5009.9931	30303.030303	25889.967638	4694.83568	2690.703619	6453.193923	32258.064516	33185.840708	3146.607329	13363.028953	17024.426351	12008.005337	5520.979723	6689.408879	9491.243769	4176.201373	2923.976608	17016.654599	10473.329545	8217.808206	9802.674574
UL44	L	cluster_9	6916.615965	0	0	5254.860747	5260.888314	2841.000807	7779.381055	0	0	586.85446	2018.027714	4329.357948	0	0	5556.048517	2227.171492	1480.3849	0	2208.391892	4797.18565	5752.268951	18185.354691	0	5430.847212	1014.857514	2806.474245	7197.399989
UL26.5	L	cluster_1	70362.05582	67796.610169	69392.812887	42038.885969	38896.075895	43228.410006	46756.948117	30303.030303	32362.459547	38145.539905	26099.825105	50400.261394	161290.32258	30973.451329	28626.618524	22271.714922	34789.045151	38025.350235	23991.166434	26624.380365	28729.387703	40439.359267	5847.953216	30774.800868	28578.387595	27467.963449	34693.13462
UL26	L	cluster_1	7832.770353	1540.832049	2478.314746	4729.374672	4743.42389	3131.557708	4651.496276	0	0	2934.2723	2959.773981	3104.067963	0	0	3242.165904	2227.171492	740.19245	2001.334223	5420.598274	4983.742869	3898.760067	4691.075514	0	1448.225923	2354.469434	2677.440948	4039.491401
UL25	L	cluster_1	1426.683171	0	0	1050.97215	1466.149202	613.397901	233.022935	0	0	1173.70892	269.070362	653.487992	0	0	580.177057	0	0	0	401.525799	373.11444	798.926243	475.972541	0	362.056481	81.188602	508.068613	745.617306
UL24	L	cluster_7	1195.896189	0	0	525.486075	344.976283	0	510.857972	0	0	0	134.535181	163.371998	0	0	723.514917	0	0	0	401.525799	453.067534	479.355747	279.176201	0	0	771.291711	717.747724	675.441559
UL23	L	cluster_6	3552.72084	29275.808936	76827.757126	12611.665791	0	8490.718321	10360.558182	60606.060606	38834.951457	13497.652581	7533.970133	15275.281816	0	53097.345133	1965.776379	26726.057906	25906.735751	22681.787858	0	0	5848.140099	1210.526316	5847.953216	14844.315713	15791.182918	0	4627.213276
UL22	L	cluster_10	1580.541161	0	2478.314746	2101.944299	2069.857698	1097.659401	779.73059	0	0	2934.2723	1076.281448	326.743996	0	0	1276.389525	2227.171492	0	2001.334223	2208.391891	1492.457758	1757.637736	917.620138	0	2896.451847	690.103109	1088.718458	1521.936501
CTO-S	L	cluster_1	62480.330655	13867.488443	53283.767039	85654.230164	150754.635619	177594.834542	189438.683599	20202.020202	12944.983819	55751.173709	115700.255617	120731.906551	0	22123.893806	313684.670358	22271.714922	70318.282753	29352.901934	147861.875126	176163.317521	219481.017512	347922.196798	0	167270.094136	152472.192903	268679.586124	235856.297615
CTO-M	L	cluster_9	293.728888	0	0	525.486075	258.732212	387.4092	457.083449	0	0	0	0	0	0	0	655.258793	0	0	0	100.38145	26.651031	0	551.487414	0	0	0	0	337.72078
