seqnames	strand	transcript_id	start.TR	end.TR	start.exon	end.exon	exon_number	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source
LT934125.1	+	UL40	48567	49647	48567	49647	1	48567	49647	48567	48567	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L1	48455	49647	48455	49647	1	48455	49647	48455	48455	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L10	47642	49647	47642	49647	1	47642	49647	47642	47642	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L11	47628	49647	47628	49647	1	47628	49647	47628	47628	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L12	47567	49647	47567	49647	1	47567	49647	47567	47567	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L13	47521	49647	47521	49647	1	47521	49647	47521	47521	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L14	47486	49647	47486	49647	1	47486	49647	47486	47486	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L15	47411	49647	47411	49647	1	47411	49647	47411	47411	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L16	47315	49647	47315	49647	1	47315	49647	47315	47315	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L17	47288	49647	47288	49647	1	47288	49647	47288	47288	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L18	47203	49647	47203	49647	1	47203	49647	47203	47203	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L19	47188	49647	47188	49647	1	47188	49647	47188	47188	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L2	48412	49647	48412	49647	1	48412	49647	48412	48412	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L20	47168	49647	47168	49647	1	47168	49647	47168	47168	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L21	46754	49647	46754	49647	1	46754	49647	46754	46754	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L22	46717	49647	46717	49647	1	46717	49647	46717	46717	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L23	46489	49647	46489	49647	1	46489	49647	46489	46489	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L3	48294	49647	48294	49647	1	48294	49647	48294	48294	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L4	48069	49647	48069	49647	1	48069	49647	48069	48069	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L5	47933	49647	47933	49647	1	47933	49647	47933	47933	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L6	47872	49647	47872	49647	1	47872	49647	47872	47872	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L7	47785	49647	47785	49647	1	47785	49647	47785	47785	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L8	47699	49647	47699	49647	1	47699	49647	47699	47699	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-L9	47655	49647	47655	49647	1	47655	49647	47655	47655	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40-S	48505	49647	48505	49647	1	48505	49647	48505	48505	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.2	48691	49647	48691	49647	1	48691	49647	48691	48691	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.3	48726	49647	48726	49647	1	48726	49647	48726	48726	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.3-S	48803	49647	48803	49647	1	48803	49647	48803	48803	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.3-S2	48931	49647	48931	49647	1	48931	49647	48931	48931	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.3-S3	48957	49647	48957	49647	1	48957	49647	48957	48957	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.6	49196	49647	49196	49647	1	49196	49647	49196	49196	49647	49647	TRUE	NAGATA
LT934125.1	+	UL40.6-S	49263	49647	49263	49647	1	49263	49647	49263	49263	49647	49647	TRUE	NAGATA
LT934125.1	+	UL41-42	49894	52434	49894	52434	1	49894	52434	49894	49894	52434	52434	TRUE	NAGATA
LT934125.1	+	UL42	51235	52437	51235	52437	1	51235	52437	51235	51235	52437	52437	TRUE	NAGATA
LT934125.1	+	UL42-43-44	51235	55161	51235	55161	1	51235	55161	51235	51235	55161	55161	TRUE	NAGATA
LT934125.1	+	UL42-43-L	50133	53594	50133	53594	1	50133	53594	50133	50133	53594	53594	TRUE	NAGATA
LT934125.1	+	UL42-L1	51148	52437	51148	52437	1	51148	52437	51148	51148	52437	52437	TRUE	NAGATA
