dcDNA_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA_TC_significance
	LT934125.1	-	FORF15-L2	1	71548	73139	71548	73139	71548	73139	73139	73139	71548	71548	TRUE	NAGATA						
	LT934125.1	-	UL10-L7	1	80352	83780	80352	83780	80352	83780	83780	83780	80352	80352	TRUE	NAGATA						
	LT934125.1	-	UL10-L8	1	80352	83205	80352	83205	80352	83205	83205	83205	80352	80352	TRUE	NAGATA						
	LT934125.1	-	UL16-AS	1	74413	75324	74413	75324	74413	75324	75324	75324	74413	74413	TRUE	NAGATA						
	LT934125.1	-	UL1L2-2-3-3.5	1	92069	95471	92069	95471	92069	95471	95471	95471	92069	92069	TRUE	NAGATA						
	LT934125.1	-	UL20-21-C	1	64173	66924	64173	66924	64173	66924	66924	66924	64173	64173	TRUE	NAGATA						
	LT934125.1	-	UL36.43	1	32686	34532	32686	34532	32686	34532	34532	34532	32686	32686	TRUE	NAGATA						
	LT934125.1	-	UL37.6	1	42005	44067	42005	44067	42005	44067	44067	44067	42005	42005	TRUE	NAGATA						
	LT934125.1	-	UL37.6-S	1	42005	43628	42005	43628	42005	43628	43628	43628	42005	42005	TRUE	NAGATA						
	LT934125.1	-	UL44-43-42-41	1	50027	54882	50027	54882	50027	54882	54882	54882	50027	50027	TRUE	NAGATA						
	LT934125.1	-	UL51-52	1	4648	8526	4648	8526	4648	8526	8526	8526	4648	4648	TRUE	NAGATA						
	LT934125.1	-	UL54.5	1	2778	3753	2778	3753	2778	3753	3753	3753	2778	2778	TRUE	NAGATA						
	LT934125.1	-	US1_2-splice-L	1	126752	129714	126752	127952	126752	129714	129714	127952	126752	126752	TRUE	NAGATA						
	LT934125.1	-	US1_2-splice-L	2	126752	129714	128147	128198	126752	129714	129714	128198	126752	128147	FALSE	NAGATA						
	LT934125.1	-	US1_2-splice-L	3	126752	129714	128321	129714	126752	129714	129714	129714	126752	128321	FALSE	NAGATA						
	LT934125.1	-	US4-AS1	1	118860	120344	118860	120344	118860	120344	120344	120344	118860	118860	TRUE	NAGATA						
	LT934125.1	-	nc-US1_2	1	127089	128705	127089	128705	127089	128705	128705	128705	127089	127089	TRUE	NAGATA						
TC_1000	LT934125.1	+	PTO-US1-nonsp	1	112884	116961	112884	116961	112884	116961	112884	112884	116961	116961	TRUE	NAGATA	112873	112898	12	1245.01929	112884	***
TC_1000	LT934125.1	+	PTO-US1-sp	1	112884	116961	112884	115138	112884	116961	112884	112884	116961	115138	FALSE	NAGATA	112873	112898	12	1245.01929	112884	***
TC_1000	LT934125.1	+	PTO-US1-sp	2	112884	116961	115256	115308	112884	116961	112884	115256	116961	115308	FALSE	NAGATA	112873	112898	12	1245.01929	112884	***
TC_1000	LT934125.1	+	PTO-US1-sp	3	112884	116961	115464	116961	112884	116961	112884	115464	116961	116961	TRUE	NAGATA	112873	112898	12	1245.01929	112884	***
TC_1009	LT934125.1	+	US1-splice-L2	1	114832	116961	114832	115138	114832	116961	114832	114832	116961	115138	FALSE	NAGATA	114825	114847	3	76.229692	114836	*
TC_1009	LT934125.1	+	US1-splice-L2	2	114832	116961	115256	115308	114832	116961	114832	115256	116961	115308	FALSE	NAGATA	114825	114847	3	76.229692	114836	*
TC_1009	LT934125.1	+	US1-splice-L2	3	114832	116961	115464	116961	114832	116961	114832	115464	116961	116961	TRUE	NAGATA	114825	114847	3	76.229692	114836	*
TC_1010	LT934125.1	+	US1	1	114984	116961	114984	116961	114984	116961	114984	114984	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice	1	114984	116961	114984	115138	114984	116961	114984	114984	116961	115138	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice	2	114984	116961	115256	115308	114984	116961	114984	115256	116961	115308	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice	3	114984	116961	115464	116961	114984	116961	114984	115464	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-2	1	114984	116961	114984	115139	114984	116961	114984	114984	116961	115139	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-2	2	114984	116961	115257	116961	114984	116961	114984	115257	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-3	1	114984	116961	114984	115186	114984	116961	114984	114984	116961	115186	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-3	2	114984	116961	115474	116961	114984	116961	114984	115474	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-4	1	114984	116961	114984	115169	114984	116961	114984	114984	116961	115169	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-4	2	114984	116961	115465	116961	114984	116961	114984	115465	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-5	1	114984	116961	114984	115180	114984	116961	114984	114984	116961	115180	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-5	2	114984	116961	115465	116961	114984	116961	114984	115465	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-6	1	114984	116961	114984	115309	114984	116961	114984	114984	116961	115309	FALSE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_1010	LT934125.1	+	US1-splice-6	2	114984	116961	115465	116961	114984	116961	114984	115465	116961	116961	TRUE	NAGATA	114969	114998	26	1773963.775105	114985	***
TC_102	LT934125.1	+	UL47-46	1	11793	16224	11793	16224	11793	16224	11793	11793	16224	16224	TRUE	NAGATA	11778	11816	12	4431.578238	11793	***
TC_102	LT934125.1	+	nc-UL47	1	11793	12084	11793	12084	11793	12084	11793	11793	12084	12084	TRUE	NAGATA	11778	11816	12	4431.578238	11793	***
TC_1027	LT934125.1	+	TRS1	1	116628	116961	116628	116961	116628	116961	116628	116628	116961	116961	TRUE	NAGATA	116349	116791	24	46494.695346	116641	***
TC_1027	LT934125.1	+	TRS1-L	1	116600	116961	116600	116961	116600	116961	116600	116600	116961	116961	TRUE	NAGATA	116349	116791	24	46494.695346	116641	***
TC_1027	LT934125.1	+	TRS1-L2	1	116552	116961	116552	116961	116552	116961	116552	116552	116961	116961	TRUE	NAGATA	116349	116791	24	46494.695346	116641	***
TC_1027	LT934125.1	+	TRS1-L3	1	116541	116961	116541	116961	116541	116961	116541	116541	116961	116961	TRUE	NAGATA	116349	116791	24	46494.695346	116641	***
TC_1027	LT934125.1	+	TRS1-S	1	116715	116961	116715	116961	116715	116961	116715	116715	116961	116961	TRUE	NAGATA	116349	116791	24	46494.695346	116641	***
TC_1032	LT934125.1	+	US3-L-4	1	117607	120477	117607	120477	117607	120477	117607	117607	120477	120477	TRUE	NAGATA	117593	117622	16	8184.584016	117607	***
TC_1034	LT934125.1	+	US3-4	1	117769	120477	117769	120477	117769	120477	117769	117769	120477	120477	TRUE	NAGATA	117758	117791	25	64929.556588	117769	***
TC_1049	LT934125.1	+	US4-L	1	118807	120477	118807	120477	118807	120477	118807	118807	120477	120477	TRUE	NAGATA	118781	118809	3	565.295058	118794	**
TC_1050	LT934125.1	+	US4	1	118864	120477	118864	120477	118864	120477	118864	118864	120477	120477	TRUE	NAGATA	118836	118878	27	1656508.558633	118864	***
TC_1050	LT934125.1	+	US4-6-7	1	118864	122915	118864	122915	118864	122915	118864	118864	122915	122915	TRUE	NAGATA	118836	118878	27	1656508.558633	118864	***
