seqnames	strand	gene_cluster	gene	Kinetic_class	C6_0.5h_1	C6_0.5h_2	C6_12h_1	C6_12h_2	C6_12h_3	C6_1h_1	C6_1h_2	C6_1h_3	C6_2h_1	C6_2h_2	C6_2h_3	C6_4h_1	C6_4h_2	C6_4h_3	C6_6h_1	C6_6h_2	C6_6h_3	C6_8h_1	C6_8h_2	C6_8h_3	C6_dRNA	NRK_1h_1	NRK_1h_2	NRK_1h_3	NRK_2h_1	NRK_2h_2	NRK_2h_3	PC-12_0.5h_1	PC-12_0.5h_2	PC-12_0.5h_3	PC-12_1.5h_1	PC-12_1.5h_2	PC-12_1.5h_3	PC-12_12h_1	PC-12_12h_2	PC-12_12h_3	PC-12_1h_1	PC-12_1h_2	PC-12_1h_3	PC-12_2.5h_1	PC-12_2.5h_2	PC-12_2.5h_3	PC-12_2h_1	PC-12_2h_2	PC-12_2h_3	PC-12_4h_1	PC-12_4h_2	PC-12_4h_3	PC-12_6h_1	PC-12_6h_2	PC-12_6h_3	PC-12_8h_1	PC-12_8h_2	PC-12_8h_3	PC-12_dRNA	PK-15_12h_1	PK-15_12h_2	PK-15_12h_3	PK-15_1h_1	PK-15_1h_2	PK-15_1h_3	PK-15_2h_1	PK-15_2h_2	PK-15_2h_3	PK-15_4h_1	PK-15_4h_2	PK-15_4h_3	PK-15_6h_1	PK-15_6h_2	PK-15_6h_3	PK-15_8h_1	PK-15_8h_2	PK-15_8h_3	PK-15_dRNA
LT934125.1	+		US1	E	0	0	3438	2184	1788	16	14	5	9	38	2	39	54	23	118	258	117	490	480	384	2	0	0	0	4	5	4	0	0	1	2	8	10	1609	2590	1834	7	7	17	28	12	24	40	38	33	287	422	468	1068	1429	1552	782	693	36	0	2426	2534	3368	0	1	3	48	35	69	409	463	872	3552	3780	1940	3355	3973	4946	7
LT934125.1	+		US2	L	0	0	1050	1089	541	2	6	2	0	6	0	2	7	3	10	27	20	274	210	170	0	0	0	1	3	3	1	0	0	0	0	2	1	383	535	430	3	4	3	8	7	10	9	7	8	14	6	18	27	34	43	207	112	21	0	593	520	898	0	0	0	9	10	17	167	178	153	423	327	177	403	353	603	6
LT934125.1	+		US3	L	0	0	12	11	16	0	1	0	1	0	0	2	0	0	1	3	1	5	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	10	19	8	0	1	2	0	0	0	0	3	1	3	2	1	3	9	3	1	20	0	1	17	22	9	0	0	0	3	3	1	2	7	8	25	14	13	31	50	17	0
LT934125.1	+		US4	L	0	0	2040	1581	892	4	4	4	6	10	0	14	17	5	22	48	30	247	258	162	0	1	1	0	4	1	5	0	0	0	2	1	5	912	1747	892	3	1	5	9	1	4	15	11	12	56	63	56	205	194	304	348	423	13	5	1986	2805	2254	2	1	0	9	1	10	160	174	312	1164	1152	435	1775	1898	1520	18
LT934125.1	+		US6	L	0	0	91	73	69	1	0	0	0	0	0	2	0	0	6	8	0	11	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	40	72	36	2	1	0	0	0	1	1	0	1	2	2	4	15	21	19	8	17	1	0	84	129	129	0	0	0	0	1	3	2	5	4	30	26	13	50	57	47	1
LT934125.1	+		US7	L	0	0	285	232	102	1	3	1	0	2	0	4	6	2	9	17	10	38	47	41	0	1	0	0	0	1	2	0	0	0	0	0	1	196	330	190	1	0	3	3	0	0	1	3	2	10	25	15	56	57	81	101	94	3	0	466	631	539	0	0	0	0	0	0	56	53	65	265	246	138	416	417	445	1
LT934125.1	+		US8	L	0	0	371	332	293	3	3	1	5	0	1	12	4	6	13	38	31	67	67	45	0	0	1	0	4	1	2	0	0	0	1	1	1	190	236	127	2	1	1	1	2	1	10	8	4	15	19	13	40	62	85	53	140	7	5	411	665	309	0	1	2	7	11	11	48	50	49	205	184	255	699	602	508	50
LT934125.1	+		US9	L	0	0	401	342	135	2	0	0	0	1	1	3	7	2	10	18	13	66	81	38	5	0	0	1	0	3	3	0	0	0	2	1	2	480	578	317	0	3	0	5	2	3	1	4	1	5	10	9	36	58	59	131	199	7	17	1726	1932	1321	0	1	0	5	5	34	56	62	41	252	220	437	819	776	814	121
LT934125.1	+	ELIE			0	0	6	14	6	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	1	0	21	14	11	0	0	0	0	0	0	0	2	0	0	0	0	3	6	5	4	10	1	1	5	4	3	0	0	0	0	0	2	1	0	0	2	3	1	5	2	8	0
LT934125.1	+	IE180_2			0	0	1243	1316	981	8	5	4	3	4	0	5	6	2	15	26	30	195	246	235	37	4	5	6	2	3	3	2	1	1	2	4	1	1021	1032	949	8	12	11	9	2	3	5	8	11	64	45	80	235	298	261	336	499	49	127	398	443	602	229	122	67	130	101	83	144	188	218	817	732	449	1283	1015	1230	337
