seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	11793	12005	NOV_TX_204	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0
LT934125.1	+	11793	12086	NOV_TX_200	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	5	7	0	276	0	0	5	26	65
LT934125.1	+	11793	12171	NOV_TX_198	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
LT934125.1	+	11861	16224	NOV_TX_213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34	0	0	0	0	0
LT934125.1	+	11976	12086	NOV_TX_223	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0
LT934125.1	+	11976	12168	NOV_TX_221	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
LT934125.1	+	11976	16224	NOV_TX_222	0	10	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	1	10	0	0	1	2	0
LT934125.1	+	12063	16224	NOV_TX_231	1	34	0	0	0	0	0	6	0	0	0	1	0	8	0	0	10	0	0	0	0	1	0	32	47	0	0	4	0	13
LT934125.1	+	12098	16224	NOV_TX_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0
LT934125.1	+	12209	16224	NOV_TX_242	0	39	0	0	0	0	1	3	0	0	0	0	0	6	0	0	21	0	0	0	0	0	10	7	59	0	0	0	5	24
LT934125.1	+	12252	16224	NOV_TX_243	0	25	0	0	0	0	5	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	42	0	0	1	8	5
LT934125.1	+	12406	16224	NOV_TX_248	0	22	0	0	0	0	0	2	0	0	0	0	3	1	0	0	3	0	0	0	0	1	0	3	31	0	0	0	2	2
LT934125.1	+	12447	16224	NOV_TX_250	0	14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	16	0	0	0	0	1	3	3	23	0	0	0	0	8
LT934125.1	+	13080	16224	NOV_TX_263	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	6	4
