seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	45059	46038	NOV_TX_543	0	18	1	0	0	3	0	23	0	0	0	1	2	3	0	0	28	0	0	0	0	18	0	13	119	0	0	4	29	29
LT934125.1	+	45107	46038	NOV_TX_545	0	23	0	0	1	0	1	13	0	0	0	0	1	1	0	0	52	0	0	0	0	0	11	6	28	0	0	3	2	14
LT934125.1	+	45136	46038	NOV_TX_546	1	11	0	0	0	3	3	10	0	0	0	0	1	0	0	0	0	0	0	0	5	11	0	1	67	0	1	7	49	17
LT934125.1	+	45313	46038	NOV_TX_553	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	26	30
LT934125.1	+	45333	46038	NOV_TX_555	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	2	1	0
LT934125.1	+	45393	46038	NOV_TX_557	0	0	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	0	0	7	0	30	0	307	0	0	0	107	0
LT934125.1	+	45415	46038	NOV_TX_559	3	51	1	0	0	3	0	98	0	0	2	0	0	8	0	0	0	0	0	0	0	24	0	33	0	0	0	12	0	0
LT934125.1	+	45445	46038	NOV_TX_561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	131
LT934125.1	+	45499	46038	NOV_TX_562	0	6	0	0	0	0	2	2	0	0	1	0	3	1	0	0	15	0	0	0	2	3	6	6	34	0	0	1	10	21
LT934125.1	+	45525	46038	NOV_TX_563	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
LT934125.1	+	45580	46038	NOV_TX_566	0	0	0	0	0	0	0	39	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	45662	46038	NOV_TX_572	0	7	0	0	0	1	2	8	0	0	0	1	4	0	0	0	26	0	0	0	4	3	3	1	42	0	0	3	7	29
LT934125.1	+	45724	49647	NOV_TX_575	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	45958	46038	NOV_TX_591	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	45	0	0	0	0	0
LT934125.1	+	46096	49647	NOV_TX_596	0	8	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LT934125.1	+	46168	49647	NOV_TX_599	0	16	0	0	0	1	1	10	0	0	0	0	3	0	0	0	9	0	0	0	0	1	4	1	9	0	0	0	2	2
LT934125.1	+	46233	49647	NOV_TX_600	0	238	13	4	16	67	60	233	1	2	6	7	59	3	0	1	80	0	1	12	10	23	86	0	259	2	21	7	59	290
LT934125.1	+	46489	49647	NOV_TX_606	0	26	0	0	0	1	2	5	0	0	0	0	2	0	0	0	15	0	0	0	2	3	8	1	25	0	0	0	4	12
LT934125.1	+	46514	49647	NOV_TX_607	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3
LT934125.1	+	46529	49647	NOV_TX_608	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
LT934125.1	+	46635	49647	NOV_TX_610	0	2	0	0	0	0	1	10	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	3	0	0	0	0	4
LT934125.1	+	46682	49647	NOV_TX_611	0	15	0	0	1	0	2	7	0	0	0	0	2	1	0	0	5	0	0	0	0	2	4	1	4	0	0	0	1	2
LT934125.1	+	46754	49647	NOV_TX_614	0	0	0	0	1	0	0	11	0	0	0	0	9	0	0	0	2	0	0	0	1	0	0	1	12	0	0	0	0	0
LT934125.1	+	46778	49647	NOV_TX_615	1	15	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	4	0	0	0	0	13
LT934125.1	+	47015	49647	NOV_TX_622	0	0	1	0	0	1	1	7	0	0	0	1	0	2	0	0	14	1	0	0	0	3	1	3	13	0	0	0	1	4
LT934125.1	+	47315	49647	NOV_TX_632	0	59	1	0	2	4	14	58	0	0	1	1	16	1	0	1	30	1	0	0	6	26	18	4	57	0	1	2	14	49
LT934125.1	+	47393	49647	NOV_TX_635	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0
LT934125.1	+	47567	49647	NOV_TX_642	0	18	0	0	1	1	6	30	0	0	0	1	7	4	0	0	11	0	1	0	2	4	6	6	20	0	0	0	5	16
LT934125.1	+	47613	49647	NOV_TX_643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0
LT934125.1	+	47642	49647	NOV_TX_645	0	11	0	0	0	0	0	18	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	3	8	0	0	0	0	4
LT934125.1	+	47699	49647	NOV_TX_647	0	37	0	0	3	0	0	37	0	0	0	0	0	0	0	0	30	0	0	0	3	7	21	0	45	0	0	0	0	0
LT934125.1	+	47723	49647	NOV_TX_648	1	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
LT934125.1	+	47803	49647	NOV_TX_653	2	23	0	0	0	0	2	15	0	0	0	0	5	1	0	0	0	1	0	0	0	0	6	1	10	0	0	1	3	5
LT934125.1	+	47872	49647	NOV_TX_655	0	11	0	0	0	0	3	11	0	0	0	1	0	1	0	0	13	0	0	0	3	2	5	5	11	0	0	0	2	7
LT934125.1	+	47889	49647	NOV_TX_656	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1
LT934125.1	+	47933	49647	NOV_TX_657	0	3	0	0	0	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	2	1
LT934125.1	+	47964	49647	NOV_TX_658	0	2	0	0	0	0	0	6	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	1	3	0	0	2	1	2
LT934125.1	+	48013	49647	NOV_TX_659	0	13	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	22	0	2	0	0	0	0	37
LT934125.1	+	48046	49647	NOV_TX_661	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	4	9	0	1	0	0	0
LT934125.1	+	48069	49647	NOV_TX_662	1	54	0	0	0	0	0	18	0	0	0	0	0	1	0	0	47	0	0	0	0	0	0	5	25	0	0	0	11	0
LT934125.1	+	48109	49647	NOV_TX_664	0	0	0	0	0	3	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	4	0	0	3	0	0
LT934125.1	+	48190	49647	NOV_TX_667	0	0	0	0	1	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	48214	49647	NOV_TX_668	6	240	0	2	0	0	0	0	0	0	1	2	0	7	0	0	194	1	2	1	0	0	0	26	0	0	3	0	0	0
LT934125.1	+	48276	49647	NOV_TX_670	2	51	0	0	0	0	65	0	0	0	0	5	0	5	0	0	0	0	0	0	4	0	12	21	0	0	1	2	0	0
LT934125.1	+	48346	49647	NOV_TX_673	1	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	7	34	64	3	0	0	6	13	0	0
LT934125.1	+	48362	49647	NOV_TX_674	0	298	0	0	0	0	0	0	0	2	0	0	55	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	48373	49647	NOV_TX_675	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	48475	49647	NOV_TX_679	0	0	1	3	2	7	31	0	1	1	2	0	0	7	0	0	0	0	0	1	0	0	0	15	0	0	0	15	0	0
LT934125.1	+	48493	49647	NOV_TX_680	0	256	1	0	1	0	12	0	0	0	1	0	0	4	0	0	87	0	0	0	2	0	0	4	54	0	0	5	0	0
LT934125.1	+	48567	49161	NOV_TX_685	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
LT934125.1	+	48567	49647	NOV_TX_683	7	3274	37	50	72	324	1533	2179	9	38	148	275	454	19	2	29	2094	28	78	86	200	640	1034	74	1693	9	188	1335	2795	4527
LT934125.1	+	48615	49647	NOV_TX_686	10	1086	9	9	5	32	270	360	0	7	18	32	123	12	0	3	921	4	6	21	44	128	281	30	462	0	35	135	318	617
LT934125.1	+	48658	49647	NOV_TX_687	1	98	1	3	1	4	31	26	0	1	0	2	30	3	0	0	76	2	0	3	8	22	16	4	59	0	4	12	38	52
LT934125.1	+	48750	49647	NOV_TX_691	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
LT934125.1	+	48764	49647	NOV_TX_692	4	0	0	1	1	6	10	22	0	1	4	3	62	4	0	0	0	0	2	2	0	25	43	10	98	0	12	0	43	36
LT934125.1	+	48785	49647	NOV_TX_693	0	0	0	0	0	3	0	0	0	1	3	8	0	2	0	0	317	0	0	3	10	21	47	13	79	0	0	0	46	150
LT934125.1	+	48803	49647	NOV_TX_694	0	159	0	0	0	0	50	137	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	21	0	0
LT934125.1	+	48835	49647	NOV_TX_695	0	0	0	0	1	14	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	48868	49647	NOV_TX_697	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
LT934125.1	+	48996	49647	NOV_TX_703	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	49009	49647	NOV_TX_704	0	0	2	3	0	0	0	0	0	3	0	0	0	6	0	2	0	0	0	6	0	0	0	11	0	0	26	0	0	0
LT934125.1	+	49022	49647	NOV_TX_705	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
LT934125.1	+	49050	49647	NOV_TX_706	0	0	0	0	0	0	160	0	0	0	0	32	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	36	0	0
LT934125.1	+	49079	49647	NOV_TX_707	0	43	0	1	0	3	15	26	0	4	2	2	3	4	0	0	65	0	1	3	6	8	13	7	32	0	1	0	24	30
LT934125.1	+	49115	49647	NOV_TX_708	15	250	2	4	3	9	71	134	0	3	0	27	45	22	0	0	312	0	0	4	18	56	93	24	0	2	8	29	92	144
LT934125.1	+	49138	49647	NOV_TX_709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	152	0	0	0	0	0
LT934125.1	+	49196	49647	NOV_TX_712	6	496	4	0	0	11	103	365	0	3	16	40	92	21	0	0	126	2	5	0	0	139	0	29	336	2	22	0	232	304
LT934125.1	+	49223	49647	NOV_TX_713	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	460	0	0	8	0	0	165	0	0	0	0	75	0	0
LT934125.1	+	49318	49647	NOV_TX_717	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	1283	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	51148	55161	NOV_TX_747	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3
LT934125.1	+	51235	52435	NOV_TX_749	3	0	0	0	0	0	0	0	0	0	0	0	0	11	1	11	0	0	29	0	0	0	0	94	0	0	0	0	0	0
LT934125.1	+	51235	53594	NOV_TX_750	0	142	1	0	1	19	22	195	1	0	1	6	60	0	0	1	29	0	0	5	9	14	15	1	68	0	1	8	40	90
LT934125.1	+	51235	55161	NOV_TX_754	1	103	0	1	2	16	13	134	0	0	1	1	50	0	0	0	14	0	0	0	0	1	4	3	69	0	0	1	7	42
LT934125.1	+	51235	55271	NOV_TX_755	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0
LT934125.1	+	51300	52437	NOV_TX_758	0	98	0	0	0	5	0	79	0	0	0	3	13	0	0	0	94	1	0	1	11	35	37	0	0	0	4	33	0	173
LT934125.1	+	51300	53594	NOV_TX_759	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LT934125.1	+	51464	52437	NOV_TX_771	0	17	0	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	6	0	0	2	0	3
LT934125.1	+	51495	53594	NOV_TX_775	0	0	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LT934125.1	+	51495	55161	NOV_TX_776	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LT934125.1	+	51529	52435	NOV_TX_777	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	35	0	0	0	0	0	0
LT934125.1	+	51574	52437	NOV_TX_781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	514
LT934125.1	+	51637	52437	NOV_TX_787	0	42	0	0	0	2	2	13	0	0	2	2	5	0	0	0	41	0	0	0	2	6	12	0	52	0	1	8	13	37
LT934125.1	+	51637	53594	NOV_TX_788	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
LT934125.1	+	51687	52437	NOV_TX_791	0	79	1	1	0	5	18	75	0	0	1	3	0	0	0	0	61	0	0	1	3	18	23	0	158	0	3	6	49	100
LT934125.1	+	51687	53594	NOV_TX_793	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2
LT934125.1	+	51746	55161	NOV_TX_799	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
LT934125.1	+	51806	52437	NOV_TX_801	0	25	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	28	0	0
LT934125.1	+	51898	52435	NOV_TX_810	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
LT934125.1	+	51898	53594	NOV_TX_809	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LT934125.1	+	51988	52437	NOV_TX_813	0	31	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	66	0	90	0	1	0	0	0
LT934125.1	+	52004	52435	NOV_TX_817	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0
LT934125.1	+	52040	52437	NOV_TX_820	0	137	0	0	1	9	0	155	0	1	2	0	0	0	0	0	173	0	0	3	11	38	0	0	499	0	3	24	0	318
LT934125.1	+	52082	52435	NOV_TX_827	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	28	0	0	0	0	0	0
LT934125.1	+	52102	52437	NOV_TX_828	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
LT934125.1	+	52121	52437	NOV_TX_831	0	0	0	1	1	2	18	61	0	0	2	3	22	0	0	0	262	0	0	0	0	15	28	0	275	0	4	30	82	127
LT934125.1	+	52121	53594	NOV_TX_833	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1
LT934125.1	+	52172	52435	NOV_TX_838	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
LT934125.1	+	52201	52437	NOV_TX_839	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528
LT934125.1	+	52280	52437	NOV_TX_847	0	36	0	0	1	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	6	0	0	0	0	0	2	0	0	0
LT934125.1	+	52306	52437	NOV_TX_848	0	0	0	1	2	0	2	2	0	0	0	3	1	0	0	0	127	0	0	0	2	2	3	0	597	0	4	1	228	15
LT934125.1	+	52460	53594	NOV_TX_858	9	632	17	0	14	167	258	942	11	0	19	67	288	25	0	14	822	13	23	42	114	364	397	141	1992	0	180	275	816	2094
LT934125.1	+	52460	55271	NOV_TX_868	0	5	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LT934125.1	+	52556	53594	NOV_TX_871	0	29	0	0	0	1	0	4	0	0	0	0	2	2	0	0	26	0	0	1	5	5	4	2	12	0	0	4	11	23
LT934125.1	+	52681	53594	NOV_TX_879	0	15	0	0	0	0	7	0	0	0	0	0	9	1	0	0	26	0	0	0	0	0	14	4	2	0	0	0	0	0
LT934125.1	+	52681	55161	NOV_TX_880	0	4	0	0	0	0	2	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0
LT934125.1	+	52708	55161	NOV_TX_882	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	4
LT934125.1	+	52740	53594	NOV_TX_885	0	24	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	4	15	0	0	15	0	1
LT934125.1	+	52806	53594	NOV_TX_889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0
LT934125.1	+	52829	53594	NOV_TX_891	1	21	0	0	0	0	9	28	0	0	1	4	3	1	0	0	25	0	0	1	2	0	0	5	26	0	5	19	23	26
LT934125.1	+	52829	55161	NOV_TX_892	0	6	0	0	0	0	1	10	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	1	2
LT934125.1	+	52878	53594	NOV_TX_894	1	9	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	4	0	3	6	3	1
LT934125.1	+	52938	55161	NOV_TX_900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0
LT934125.1	+	53006	53594	NOV_TX_903	0	9	0	0	0	0	1	6	0	0	0	0	3	0	0	0	3	0	0	0	0	5	3	1	5	0	0	1	1	5
LT934125.1	+	53006	55161	NOV_TX_904	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
LT934125.1	+	53072	53594	NOV_TX_906	1	35	0	0	0	4	11	32	0	0	4	7	0	0	0	0	54	0	1	2	0	5	17	9	25	0	0	14	36	61
LT934125.1	+	53119	53594	NOV_TX_913	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	5	0	0	9	0	0	17	0	0
LT934125.1	+	53190	53594	NOV_TX_916	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	75	0
LT934125.1	+	53190	55161	NOV_TX_917	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
LT934125.1	+	53211	53594	NOV_TX_918	0	17	0	0	0	2	0	0	0	0	1	4	0	1	0	0	7	0	2	0	0	22	0	1	2	0	0	0	0	0
LT934125.1	+	53211	55161	NOV_TX_919	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
LT934125.1	+	53234	55161	NOV_TX_922	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	5	0	0	0	0	0
LT934125.1	+	53381	53594	NOV_TX_930	0	134	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	1	0	0	47	37	0	0	0	0	0	0	169
LT934125.1	+	53381	55161	NOV_TX_931	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
LT934125.1	+	53406	53594	NOV_TX_932	4	0	0	0	2	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	9	0	0	18	82	0	10	0	0	0
LT934125.1	+	53406	55161	NOV_TX_935	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0
LT934125.1	+	53421	55161	NOV_TX_937	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	53648	54804	NOV_TX_952	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	14	0	0	0	0	0
LT934125.1	+	53648	55271	NOV_TX_955	0	14	0	0	0	0	2	28	0	0	0	0	0	0	0	0	10	0	0	0	0	4	2	0	27	0	0	0	1	21
LT934125.1	+	53696	55161	NOV_TX_961	0	0	0	0	0	0	18	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	53934	55161	NOV_TX_979	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	141	0	0	0	0	0
LT934125.1	+	53996	55161	NOV_TX_983	1	131	0	2	1	2	10	87	0	0	0	2	15	1	0	0	123	0	0	0	2	10	0	21	331	0	5	0	21	108
LT934125.1	+	53996	55271	NOV_TX_985	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LT934125.1	+	54041	55161	NOV_TX_988	1	95	0	0	0	0	9	57	0	0	0	0	5	0	0	1	114	0	0	0	0	0	0	9	216	0	0	3	0	60
LT934125.1	+	54081	55161	NOV_TX_993	1	96	0	0	1	3	14	39	0	0	0	2	7	7	0	0	88	0	0	0	0	9	18	22	223	0	2	1	20	62
LT934125.1	+	54165	55161	NOV_TX_996	3	19	0	0	0	1	1	2	0	0	0	0	0	4	0	0	24	0	0	0	0	1	2	26	23	0	0	0	2	4
LT934125.1	+	54245	55161	NOV_TX_1000	1	44	0	0	0	0	0	0	0	0	0	1	0	5	0	0	164	0	0	0	3	0	0	17	464	0	2	5	0	159
LT934125.1	+	54290	55161	NOV_TX_1004	5	120	0	0	1	13	3	10	0	0	1	0	1	7	0	0	0	0	0	0	3	2	5	33	440	0	3	3	8	13
LT934125.1	+	54324	55161	NOV_TX_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0
LT934125.1	+	54366	55161	NOV_TX_1012	4	197	0	0	1	0	0	356	0	0	0	15	0	19	0	0	0	0	0	0	11	79	0	61	0	0	4	0	174	0
LT934125.1	+	54442	55161	NOV_TX_1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	1	0	0	1	0	0	0
LT934125.1	+	54475	55161	NOV_TX_1020	2	91	0	1	2	6	19	72	0	0	1	6	6	10	0	0	133	0	0	0	6	21	29	28	202	0	1	5	39	71
LT934125.1	+	54742	55161	NOV_TX_1041	1	198	0	2	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	4	0	142	355	70	738	0	0	6	0	0
LT934125.1	+	54742	55271	NOV_TX_1042	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
LT934125.1	+	54834	55161	NOV_TX_1049	6	0	0	1	2	0	0	0	0	0	0	0	0	12	0	0	455	0	0	0	0	0	0	72	0	0	0	0	0	0
LT934125.1	+	54932	55161	NOV_TX_1054	0	397	0	0	0	11	58	219	0	0	2	10	44	5	0	0	528	0	1	0	11	54	111	19	1309	0	0	14	126	476
LT934125.1	+	55035	55271	NOV_TX_1059	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2
LT934125.1	+	55097	55271	NOV_TX_1060	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LT934125.1	+	55167	55271	NOV_TX_1062	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
LT934125.1	+	55303	56189	NOV_TX_1066	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	2
LT934125.1	+	58808	60251	NOV_TX_1109	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	2	0	0	0	0	2
LT934125.1	+	58897	60251	NOV_TX_1113	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	3
LT934125.1	+	59068	60251	NOV_TX_1117	3	744	37	73	33	244	363	1338	10	23	38	109	329	5	0	26	549	26	46	61	100	407	308	28	707	0	96	372	948	1454
LT934125.1	+	59146	60251	NOV_TX_1122	2	44	1	2	0	3	24	19	0	1	0	0	4	4	0	0	19	0	2	0	6	17	13	14	36	0	1	42	39	47
LT934125.1	+	59205	60251	NOV_TX_1124	2	26	0	0	2	2	7	42	1	1	0	1	14	1	0	0	33	0	0	0	0	16	16	12	12	0	1	7	16	0
LT934125.1	+	59263	60251	NOV_TX_1127	0	27	2	1	0	0	3	8	0	0	0	1	10	3	0	0	43	0	0	0	4	11	17	6	13	0	1	8	24	19
LT934125.1	+	59310	60251	NOV_TX_1130	0	0	0	0	0	6	0	0	0	0	0	2	0	2	0	0	21	0	0	3	0	6	0	4	0	1	2	13	19	0
LT934125.1	+	59474	60251	NOV_TX_1139	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	2	7	0	2	0	0	2	0	2	1
LT934125.1	+	59489	60251	NOV_TX_1140	0	3	1	0	0	0	5	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	8	5	1	0	0	1	9	4
LT934125.1	+	59546	60251	NOV_TX_1143	3	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	5	2	0	0	0	0	4
LT934125.1	+	59580	60251	NOV_TX_1146	1	24	1	1	0	4	0	0	0	0	6	4	0	1	0	0	51	0	0	1	6	0	0	5	32	0	0	0	0	51
LT934125.1	+	59771	60251	NOV_TX_1154	1	0	1	5	1	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0	21	0	0	2	12	0	0
