seqnames	group	hpi	Time	cell_line	sum_coverage.hpi	mean_coverage.hpi	sd_coverage.hpi	median_coverage.hpi	min_coverage.hpi	max_coverage.hpi	varcoeff_coverage
LT934125.1	C6_dcDNA_0.5h	0.5h	0.5	C6	0.00943171800002799	0.00471585900001399	0.00554120145904013	0.00471585900001399	0.000797637872405928	0.00863408012762206	1.1750142357996
LT934125.1	C6_dcDNA_12h	12h	12	C6	484.791662585186	161.597220861729	11.8949698696251	165.151726116343	148.330215082353	171.309721386491	0.0736087527136565
LT934125.1	C6_dcDNA_1h	1h	1	C6	10.0085361245994	3.33617870819981	1.1791453167631	3.90829963196709	1.98012202460083	4.12011446803151	0.353441892625518
LT934125.1	C6_dcDNA_2h	2h	2	C6	13.2568533885616	4.41895112952053	3.41282566125147	6.30553728607212	0.479331383551867	6.4719847189376	0.772315773861426
LT934125.1	C6_dcDNA_4h	4h	4	C6	25.2768573067827	8.42561910226091	2.82893273660826	9.62616672030898	5.1943997425169	10.4562908439568	0.335753693856058
LT934125.1	C6_dcDNA_6h	6h	6	C6	116.0231314983	38.6743771660999	5.55953285223242	40.367186297421	32.4652117938456	43.1907334070332	0.143752356459554
LT934125.1	C6_dcDNA_8h	8h	8	C6	220.017464071312	73.3391546904372	3.56624040862984	73.475804984537	69.7065532248359	76.8351058619387	0.0486266909358699
LT934125.1	C6_dRNA			C6	40.0703530597109	40.0703530597109		40.0703530597109	40.0703530597109	40.0703530597109	
LT934125.1	NRK_dcDNA_1h	1h	1	NRK	2.14309203621556	0.714364012071853	0.246559481118934	0.664838163473783	0.496326667692867	0.981927205048908	0.345145439793144
LT934125.1	NRK_dcDNA_2h	2h	2	NRK	6.52085753068107	2.17361917689369	0.558908236259384	2.08966429241125	1.66143770728089	2.76975553098893	0.257132547504534
LT934125.1	PC-12_dcDNA_0.5h	0.5h	0.5	PC-12	0.344754481465415	0.114918160488472	0.0757258266672143	0.113285568351968	0.0400218300891395	0.191447083024307	0.658954392807315
LT934125.1	PC-12_dcDNA_1.5h	1.5h	1.5	PC-12	4.66227732609395	1.55409244203132	0.145324224342692	1.48790249226851	1.45364604469571	1.72072878912974	0.0935106692577068
LT934125.1	PC-12_dcDNA_12h	12h	12	PC-12	368.228999034438	122.742999678146	10.7052314639184	125.811624522467	110.838555295896	131.578819216076	0.0872166355066232
LT934125.1	PC-12_dcDNA_1h	1h	1	PC-12	6.97563006395097	2.32521002131699	0.479757579433573	2.45664768195239	1.79343278151719	2.72554960048138	0.206328707959826
LT934125.1	PC-12_dcDNA_2.5h	2.5h	2.5	PC-12	12.7883041099341	4.2627680366447	1.64704586492525	4.97982815801626	2.37874504974741	5.42973090217042	0.386379425473424
LT934125.1	PC-12_dcDNA_2h	2h	2	PC-12	21.6433229313892	7.21444097712972	1.21330400548501	7.59566756692462	5.85630623696842	8.19134912749612	0.168177133797514
LT934125.1	PC-12_dcDNA_4h	4h	4	PC-12	96.5123773806692	32.1707924602231	3.55612135098468	30.4465792530191	29.8054673178377	36.2603308098123	0.110538817325733
LT934125.1	PC-12_dcDNA_6h	6h	6	PC-12	221.832761926086	73.9442539753619	7.73976896036143	76.7487440701921	65.1931892920614	79.890828563832	0.104670323172647
LT934125.1	PC-12_dcDNA_8h	8h	8	PC-12	196.231517890878	65.4105059636259	42.3780793564178	71.0154839702775	20.5088509816543	104.707182938946	0.647878788462267
LT934125.1	PC-12_dRNA			PC-12	87.4153314395265	87.4153314395265		87.4153314395265	87.4153314395265	87.4153314395265	
LT934125.1	PK-15_dcDNA_12h	12h	12	PK-15	478.646268594058	159.548756198019	10.7409115675494	153.417612403969	153.277626957361	171.951029232728	0.0673205597053894
LT934125.1	PK-15_dcDNA_1h	1h	1	PK-15	6.07191335133849	2.02397111711283	0.636750346314672	2.15326541750045	1.33249604679476	2.58615188704328	0.314604462944604
LT934125.1	PK-15_dcDNA_2h	2h	2	PK-15	53.4045073536615	17.8015024512205	8.71014531071857	13.3664516309595	12.20145953737	27.8365961853319	0.489292706308697
LT934125.1	PK-15_dcDNA_4h	4h	4	PK-15	154.628545640279	51.5428485467598	1.55597455667211	51.3138635059683	50.1140552189306	53.2006269153804	0.0301879814667311
LT934125.1	PK-15_dcDNA_6h	6h	6	PK-15	294.75890345783	98.2529678192767	9.00811731573682	96.4696687703783	90.2698744769875	108.019360210464	0.0916829029765905
LT934125.1	PK-15_dcDNA_8h	8h	8	PK-15	435.760260841578	145.253420280526	9.81775967649719	144.017079246022	136.112389974951	155.630791620604	0.0675905576442626
LT934125.1	PK-15_dRNA			PK-15	165.75034634276	165.75034634276		165.75034634276	165.75034634276	165.75034634276	
