seqnames	strand	start	end	TSS	TES	NOV_TX_ID	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	12192	16224	12192	16224	NOV_TX_73	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
LT934125.1	+	13273	16224	13273	16224	NOV_TX_77	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
LT934125.1	+	13450	16224	13450	16224	NOV_TX_78	11	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	56	0	0	0	0	0
LT934125.1	+	13521	16224	13521	16224	NOV_TX_79	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	26	0	0	0	0	0
LT934125.1	+	13902	16224	13902	16224	NOV_TX_81	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	47	0	0	0	0	0
LT934125.1	+	14048	14176	14048	14176	NOV_TX_83	126	0	0	0	0	31	9	0	0	0	6	0	0	49	0	0	0	0	0	10	49	0	0	18	48	34
LT934125.1	+	14132	16224	14132	16224	NOV_TX_84	198	0	0	0	0	19	12	0	0	0	0	13	0	0	0	0	0	0	0	0	261	0	0	19	41	33
LT934125.1	+	14231	16224	14231	16224	NOV_TX_85	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0
LT934125.1	+	14362	16224	14362	16224	NOV_TX_86	57	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	5	0
LT934125.1	+	14439	16224	14439	16224	NOV_TX_87	82	0	0	0	0	13	51	0	0	0	0	0	0	0	0	0	0	0	8	10	98	0	0	0	23	46
LT934125.1	+	14671	16224	14671	16224	NOV_TX_88	78	0	0	0	6	11	53	0	0	0	0	5	0	40	0	0	0	0	7	16	178	0	0	0	27	74
LT934125.1	+	14857	16224	14857	16224	NOV_TX_89	194	0	0	0	0	24	202	0	0	0	0	0	0	0	0	0	0	7	40	0	967	0	0	0	135	132
