seqnames,strand,transcript_id,start,end,prime5,prime3,exon_number,exon_count,start.transcript,end.transcript
LT934125.1,+,10043,69486,70521,69486,70521,1,1,69486,70521
LT934125.1,+,10045,58117,62340,58117,62340,1,1,58117,62340
LT934125.1,+,10046,118949,120477,118949,120477,1,1,118949,120477
LT934125.1,+,10047,67746,70521,67746,70521,1,1,67746,70521
LT934125.1,+,10048,119809,120471,119809,120471,1,1,119809,120471
LT934125.1,+,10049,31939,32409,31939,32409,1,1,31939,32409
LT934125.1,+,10050,70066,70521,70066,70521,1,1,70066,70521
LT934125.1,+,1006,124491,125225,124491,125225,1,1,124491,125225
LT934125.1,+,10061,124942,125230,124942,125230,1,1,124942,125230
LT934125.1,+,10063,125095,126151,125095,126151,1,1,125095,126151
LT934125.1,+,10064,124832,125221,124832,125221,1,1,124832,125221
LT934125.1,+,10065,119180,120477,119180,120477,1,1,119180,120477
LT934125.1,+,10066,118878,120465,118878,120465,1,1,118878,120465
LT934125.1,+,10067,51251,52431,51251,52431,1,1,51251,52431
LT934125.1,+,1007,31994,32415,31994,32415,1,1,31994,32415
LT934125.1,+,10070,15418,16224,15418,16224,1,1,15418,16224
LT934125.1,+,10071,120159,120471,120159,120471,1,1,120159,120471
LT934125.1,+,10072,48394,49647,48394,49647,1,1,48394,49647
LT934125.1,+,10073,49459,49647,49459,49647,1,1,49459,49647
LT934125.1,+,10074,1003,2271,1003,2271,1,1,1003,2271
LT934125.1,+,10077,8911,10431,8911,10431,1,1,8911,10431
LT934125.1,+,10078,71249,71532,71249,71532,1,1,71249,71532
LT934125.1,+,10079,55029,55161,55029,55161,1,1,55029,55161
LT934125.1,+,1008,51246,52439,51246,52439,1,1,51246,52439
LT934125.1,+,10080,70839,71530,70839,71530,1,1,70839,71530
LT934125.1,+,10084,54419,55161,54419,55161,1,1,54419,55161
LT934125.1,+,10085,61717,62340,61717,62340,1,1,61717,62340
LT934125.1,+,10086,31668,32415,31668,32415,1,1,31668,32415
LT934125.1,+,10088,44822,46015,44822,46015,1,1,44822,46015
LT934125.1,+,10090,70546,71531,70546,71531,1,1,70546,71531
LT934125.1,+,10091,31117,32409,31117,32409,1,1,31117,32409
LT934125.1,+,10092,15613,16224,15613,16224,1,1,15613,16224
LT934125.1,+,10094,13143,16209,13143,16209,1,1,13143,16209
LT934125.1,+,10095,70208,70521,70208,70521,1,1,70208,70521
LT934125.1,+,10096,31859,32415,31859,32415,1,1,31859,32415
LT934125.1,+,10097,15744,16224,15744,16224,1,1,15744,16224
LT934125.1,+,10098,31109,32396,31109,32396,1,1,31109,32396
LT934125.1,+,101,14366,16207,14366,16207,1,1,14366,16207
LT934125.1,+,1010,10194,10426,10194,10426,1,1,10194,10426
LT934125.1,+,10100,124455,126151,124455,126151,1,1,124455,126151
LT934125.1,+,10102,53057,55161,53057,55161,1,1,53057,55161
LT934125.1,+,10103,119960,120477,119960,120477,1,1,119960,120477
LT934125.1,+,10104,122325,122912,122325,122912,1,1,122325,122912
LT934125.1,+,10105,68612,71531,68612,71531,1,1,68612,71531
LT934125.1,+,10109,74612,75651,74612,75651,1,1,74612,75651
LT934125.1,+,10110,9125,10430,9125,10430,1,1,9125,10430
LT934125.1,+,10111,73980,75651,73980,75651,1,1,73980,75651
LT934125.1,+,10112,14174,16209,14174,16209,1,1,14174,16209
LT934125.1,+,10113,52049,52437,52049,52437,1,1,52049,52437
LT934125.1,+,10116,74561,75651,74561,75651,1,1,74561,75651
LT934125.1,+,10117,47764,49647,47764,49647,1,1,47764,49647
LT934125.1,+,10119,52971,55161,52971,55161,1,1,52971,55161
LT934125.1,+,1012,117619,120474,117619,120474,1,1,117619,120474
LT934125.1,+,10120,122991,126135,122991,126135,1,1,122991,126135
LT934125.1,+,10121,122302,122912,122302,122912,1,1,122302,122912
LT934125.1,+,10122,66348,70520,66348,70520,1,1,66348,70520
LT934125.1,+,10125,48171,49647,48171,49647,1,1,48171,49647
LT934125.1,+,10126,7597,8519,7597,8519,1,1,7597,8519
LT934125.1,+,10127,91636,92059,91636,92059,1,1,91636,92059
LT934125.1,+,10129,75389,75651,75389,75651,1,1,75389,75651
LT934125.1,+,1013,119351,120477,119351,120477,1,1,119351,120477
LT934125.1,+,10130,54374,55161,54374,55161,1,1,54374,55161
LT934125.1,+,10131,124704,125230,124704,125230,1,1,124704,125230
LT934125.1,+,10134,119844,120477,119844,120477,1,1,119844,120477
LT934125.1,+,10135,79462,79965,79462,79965,1,1,79462,79965
LT934125.1,+,10137,9968,10426,9968,10426,1,1,9968,10426
LT934125.1,+,10141,125374,126151,125374,126151,1,1,125374,126151
LT934125.1,+,10142,120243,120477,120243,120477,1,1,120243,120477
LT934125.1,+,10143,51570,52435,51570,52435,1,1,51570,52435
LT934125.1,+,10144,48092,49644,48092,49644,1,1,48092,49644
