gene	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
AZURE	E	cluster_11	0.999999884568163	0.999650217233296	39361.8522162742	0.466708119267076
CTO-L	unknown	cluster_5	0.999993280813042	0.997713036349691	36870.4367968491	0.322476476787298
CTO-M	L	cluster_5	0.999993280813042	0.997713036349691	36870.4367968491	0.322476476787298
CTO-S	L	cluster_5	0.999993280813042	0.997713036349691	36870.4367968491	0.322476476787298
ELIE	E	cluster_12	0.999993280813042	0.997713036349691	0	0
EP0	E	cluster_7	0.999993280813042	0.997713036349691	71016.6313043163	0.0677873267146918
IE180	IE	cluster_9	0.999993280813042	0.997713036349691	207384.224180676	0.988662692299668
NOIR	E					
NOIR_2	E	cluster_2	0.999993280813042	0.997713036349691	17647.680957834	-0.319197651624556
ORF-1	E	cluster_1	0.999993280813042	0.997713036349691	11378.5483601219	0.766635772095438
UL10	L	cluster_5	0.999993280813042	0.997713036349691	19060.0013403581	0.686761036200774
UL11	L	cluster_8	0.999993280813042	0.997713036349691	34413.1451404471	0.117001187774789
UL12	L	cluster_8	0.999993280813042	0.997713036349691	34413.1451404471	0.117001187774789
UL15	L	cluster_8	0.999993280813042	0.997713036349691	41894.4608299242	0.237246091452937
UL16	L	cluster_8	0.999993280813042	0.997713036349691	45312.0422427376	0.0953589254422715
UL18	L	cluster_5	0.999993280813042	0.997713036349691	39188.2326299646	0.529956795609215
UL19	L	cluster_5	0.999993280813042	0.997713036349691	31771.8261673773	0.5492042664711
UL2	E	cluster_2	0.999993280813042	0.997713036349691	6031.27409272499	0.336313080628105
UL20	L	cluster_10	0.999993280813042	0.997713036349691	0	0
UL21	L	cluster_9	0.999993280813042	0.997713036349691	103319.756683025	0.995190784730594
UL22	L	cluster_8	0.999993280813042	0.997713036349691	33551.0975324027	0.0855255640855192
UL23	L	cluster_1	0.999993280813042	0.997713036349691	19670.9903687936	0.412316176167775
UL24	L					
UL25	L	cluster_3	0.999993280813042	0.997713036349691	92757.4819317859	0.503775247712966
UL26	L	cluster_3	0.999993280813042	0.997713036349691	51067.8775409647	0.482399335207937
UL26.5	L	cluster_3	0.999993280813042	0.997713036349691	51067.8775409647	0.482399335207937
UL27	L	cluster_5	0.999993280813042	0.997713036349691	21917.1304265485	0.517826118299406
UL28	E	cluster_6	0.999993280813042	0.997713036349691	0	0
UL29	E	cluster_1	0.999993280813042	0.997713036349691	18022.3336517746	0.248086663210194
UL3	L	cluster_5	0.999993280813042	0.997713036349691	9297.09892261391	0.478377022248417
UL3.5	L	cluster_5	0.999993280813042	0.997713036349691	9297.09892261391	0.478377022248417
UL30	E	cluster_7	0.999993280813042	0.997713036349691	51923.3661134913	-0.20507437321299
UL31	L	cluster_8	0.999993280813042	0.997713036349691	29794.5851336749	0.321601463323423
UL32	L	cluster_8	0.999993280813042	0.997713036349691	29794.5851336749	0.321601463323423
UL34	E	cluster_5	0.999993280813042	0.997713036349691	88206.378815263	0.357170409626467
UL35	L	cluster_5	0.999993280813042	0.997713036349691	88586.7840002605	0.653784514789847
UL36	L	cluster_7	0.999993280813042	0.997713036349691	23712.0103748906	0.358147713609255
UL37	L	cluster_8	0.999993280813042	0.997713036349691	36991.1294749459	0.242277182774378
UL38	E	cluster_8	0.999993280813042	0.997713036349691	10097.5632355428	0.345962648004378
UL39	E	cluster_1	0.999993280813042	0.997713036349691	50017.1309685183	0.373898402761341
UL4	L	cluster_11	0.999999884568163	0.999650217233296	34140.8542895935	-0.253851117779784
UL40	E	cluster_1	0.999993280813042	0.997713036349691	53920.2297764571	0.565359254959062
UL41	L	cluster_8	0.999993280813042	0.997713036349691	45608.1458558356	0.314651206382949
UL42	L	cluster_8	0.999993280813042	0.997713036349691	17200.3709292049	0.235969615045727
UL43	L	cluster_1	0.999993280813042	0.997713036349691	13627.3557062236	0.635917744781613
UL44	L	cluster_5	0.999993280813042	0.997713036349691	21488.0868919457	0.515976168920207
UL46	L	cluster_5	0.999993280813042	0.997713036349691	38149.4598319013	0.424858752669446
UL48	L	cluster_4	0.999993280813042	0.997713036349691	0	0
UL49	L	cluster_3	0.999993280813042	0.997713036349691	6957.19744002145	0.725969886095278
UL49.5	L	cluster_3	0.999993280813042	0.997713036349691	6957.19744002145	0.725969886095278
UL5	E	cluster_9	0.999993280813042	0.997713036349691	104064.48110108	0.995190784730594
UL50	L	cluster_1	0.999993280813042	0.997713036349691	25002.9852334541	0.553572136720563
UL51	L	cluster_2	0.999993280813042	0.997713036349691	4014.79226522517	0.0389016625960385
UL52	E					
UL53	L					
UL54	E	cluster_1	0.999993280813042	0.997713036349691	8992.65184029136	0.659773475034059
UL6	L	cluster_2	0.999993280813042	0.997713036349691	6083.70655118085	0.330276068828622
UL7	E	cluster_2	0.999993280813042	0.997713036349691	6083.70655118085	0.330276068828622
UL8	E	cluster_1	0.999993280813042	0.997713036349691	32528.3175052953	0.633533596088025
US1	E	cluster_11	0.999999884568163	0.999650217233296	91353.9012855535	0.178854217037935
US2	L	cluster_3	0.999993280813042	0.997713036349691	24447.79240036	0.506788975047671
US3	L					
US4	L	cluster_8	0.999993280813042	0.997713036349691	115128.447833368	0.378514536873997
US6	L					
US7	L	cluster_8	0.999993280813042	0.997713036349691	3785.66002986097	0.619853999575648
US8	L	cluster_11	0.999999884568163	0.999650217233296	11782.7380757595	0.595983327071927
US9	L	cluster_11	0.999999884568163	0.999650217233296	11782.7380757595	0.595983327071927
