gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL52	E	4h	4	C6	C6_4h	0			
UL52	E	6h	6	C6	C6_6h	0			
UL52	E	8h	8	C6	C6_8h	0			
UL52	E	12h	12	NRK	NRK_12h	0			
UL52	E	1h	1	NRK	NRK_1h	0			
UL52	E	2h	2	NRK	NRK_2h	0			
UL52	E	4h	4	NRK	NRK_4h	0			
UL52	E	6h	6	NRK	NRK_6h	38.645849			
UL52	E	8h	8	NRK	NRK_8h	0			
UL52	E	0.5h	0.5	PC_12	PC_12_0.5h	0			
UL52	E	1.5h	1.5	PC_12	PC_12_1.5h	0			
UL52	E	12h	12	PC_12	PC_12_12h	0			
UL52	E	1h	1	PC_12	PC_12_1h	0			
UL52	E	2.5h	2.5	PC_12	PC_12_2.5h	0			
UL52	E	2h	2	PC_12	PC_12_2h	0			
UL52	E	4h	4	PC_12	PC_12_4h	0			
UL52	E	6h	6	PC_12	PC_12_6h	0			
UL52	E	8h	8	PC_12	PC_12_8h	0			
UL52	E	12h	12	PK_15	PK_15_12h	0			
UL52	E	1h	1	PK_15	PK_15_1h	0			
UL52	E	2h	2	PK_15	PK_15_2h	0			
UL52	E	4h	4	PK_15	PK_15_4h	0			
UL52	E	6h	6	PK_15	PK_15_6h	0			
UL52	E	8h	8	PK_15	PK_15_8h	0			
UL51	L	12h	12	C6	C6_12h	1760.430491			cluster_2
UL51	L	1h	1	C6	C6_1h	2609.262884			cluster_2
UL51	L	2h	2	C6	C6_2h	5592.272497			cluster_2
UL51	L	4h	4	C6	C6_4h	3403.289846			cluster_2
UL51	L	6h	6	C6	C6_6h	4254.158713			cluster_2
UL51	L	8h	8	C6	C6_8h	3489.634808			cluster_2
UL51	L	12h	12	NRK	NRK_12h	1796.856994			cluster_2
UL51	L	1h	1	NRK	NRK_1h	0			cluster_2
UL51	L	2h	2	NRK	NRK_2h	4901.960784			cluster_2
UL51	L	4h	4	NRK	NRK_4h	4394.605245			cluster_2
UL51	L	6h	6	NRK	NRK_6h	2125.521719			cluster_2
UL51	L	8h	8	NRK	NRK_8h	2440.449592			cluster_2
UL51	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_2
UL51	L	1.5h	1.5	PC_12	PC_12_1.5h	5134.788189			cluster_2
UL51	L	12h	12	PC_12	PC_12_12h	1612.418871			cluster_2
UL51	L	1h	1	PC_12	PC_12_1h	5335.365854			cluster_2
UL51	L	2.5h	2.5	PC_12	PC_12_2.5h	2153.316106			cluster_2
UL51	L	2h	2	PC_12	PC_12_2h	4705.882351			cluster_2
UL51	L	4h	4	PC_12	PC_12_4h	6125.495445			cluster_2
UL51	L	6h	6	PC_12	PC_12_6h	4420.073539			cluster_2
UL51	L	8h	8	PC_12	PC_12_8h	2742.982536			cluster_2
UL51	L	12h	12	PK_15	PK_15_12h	691.637668			cluster_2
UL51	L	1h	1	PK_15	PK_15_1h	3742.51497			cluster_2
UL51	L	2h	2	PK_15	PK_15_2h	1855.444043			cluster_2
UL51	L	4h	4	PK_15	PK_15_4h	6611.776448			cluster_2
UL51	L	6h	6	PK_15	PK_15_6h	3788.317091			cluster_2
UL51	L	8h	8	PK_15	PK_15_8h	2449.543641			cluster_2
UL50	L	12h	12	C6	C6_12h	4051.668513			cluster_1
UL50	L	1h	1	C6	C6_1h	18264.840183			cluster_1
UL50	L	2h	2	C6	C6_2h	19318.759533			cluster_1
UL50	L	4h	4	C6	C6_4h	11911.514463			cluster_1
UL50	L	6h	6	C6	C6_6h	11617.125715			cluster_1
UL50	L	8h	8	C6	C6_8h	9077.931113			cluster_1
UL50	L	12h	12	NRK	NRK_12h	7306.933906			cluster_1
UL50	L	1h	1	NRK	NRK_1h	31578.947369			cluster_1
UL50	L	2h	2	NRK	NRK_2h	32679.738562			cluster_1
UL50	L	4h	4	NRK	NRK_4h	22882.254888			cluster_1
UL50	L	6h	6	NRK	NRK_6h	11902.921625			cluster_1
UL50	L	8h	8	NRK	NRK_8h	9916.474752			cluster_1
UL50	L	0.5h	0.5	PC_12	PC_12_0.5h	0			cluster_1
UL50	L	1.5h	1.5	PC_12	PC_12_1.5h	19255.455711			cluster_1
UL50	L	12h	12	PC_12	PC_12_12h	3719.926088			cluster_1
UL50	L	1h	1	PC_12	PC_12_1h	15243.902439			cluster_1
UL50	L	2.5h	2.5	PC_12	PC_12_2.5h	12489.23342			cluster_1
UL50	L	2h	2	PC_12	PC_12_2h	15686.274507			cluster_1
UL50	L	4h	4	PC_12	PC_12_4h	12045.091882			cluster_1
UL50	L	6h	6	PC_12	PC_12_6h	7712.708032			cluster_1
UL50	L	8h	8	PC_12	PC_12_8h	5485.965075			cluster_1
UL50	L	12h	12	PK_15	PK_15_12h	2300.312781			cluster_1
UL50	L	1h	1	PK_15	PK_15_1h	2994.011976			cluster_1
UL50	L	2h	2	PK_15	PK_15_2h	15855.612719			cluster_1
UL50	L	4h	4	PK_15	PK_15_4h	13722.55489			cluster_1
UL50	L	6h	6	PK_15	PK_15_6h	7083.599555			cluster_1
UL50	L	8h	8	PK_15	PK_15_8h	3991.109804			cluster_1
UL49.5	L	12h	12	C6	C6_12h	40816.177455			cluster_3
UL49.5	L	1h	1	C6	C6_1h	35877.364645			cluster_3
UL49.5	L	2h	2	C6	C6_2h	41179.461108			cluster_3
UL49.5	L	4h	4	C6	C6_4h	27509.92626			cluster_3
UL49.5	L	6h	6	C6	C6_6h	32069.811835			cluster_3
UL49.5	L	8h	8	C6	C6_8h	35713.849945			cluster_3
UL49.5	L	12h	12	NRK	NRK_12h	38143.731487			cluster_3
UL49.5	L	1h	1	NRK	NRK_1h	21052.631579			cluster_3
UL49.5	L	2h	2	NRK	NRK_2h	0			cluster_3
UL49.5	L	4h	4	NRK	NRK_4h	38793.756631			cluster_3
UL49.5	L	6h	6	NRK	NRK_6h	36327.098466			cluster_3
UL49.5	L	8h	8	NRK	NRK_8h	33392.912383			cluster_3
UL49.5	L	0.5h	0.5	PC_12	PC_12_0.5h	33333.333334			cluster_3
UL49.5	L	1.5h	1.5	PC_12	PC_12_1.5h	24390.243902			cluster_3
UL49.5	L	12h	12	PC_12	PC_12_12h	45707.746374			cluster_3
UL49.5	L	1h	1	PC_12	PC_12_1h	23628.048781			cluster_3
UL49.5	L	2.5h	2.5	PC_12	PC_12_2.5h	36175.710593			cluster_3
UL49.5	L	2h	2	PC_12	PC_12_2h	0			cluster_3
UL49.5	L	4h	4	PC_12	PC_12_4h	0			cluster_3
UL49.5	L	6h	6	PC_12	PC_12_6h	34950.61048			cluster_3
UL49.5	L	8h	8	PC_12	PC_12_8h	38973.210204			cluster_3
UL49.5	L	12h	12	PK_15	PK_15_12h	56505.8712			cluster_3
UL49.5	L	1h	1	PK_15	PK_15_1h	14970.05988			cluster_3
UL49.5	L	2h	2	PK_15	PK_15_2h	42928.228052			cluster_3
UL49.5	L	4h	4	PK_15	PK_15_4h	40710.246177			cluster_3
UL49.5	L	6h	6	PK_15	PK_15_6h	34150.194446			cluster_3
UL49.5	L	8h	8	PK_15	PK_15_8h	38816.037276			cluster_3
UL49	L	12h	12	C6	C6_12h	40816.177455			cluster_3
UL49	L	1h	1	C6	C6_1h	35877.364645			cluster_3
UL49	L	2h	2	C6	C6_2h	41179.461108			cluster_3
UL49	L	4h	4	C6	C6_4h	27509.92626			cluster_3
UL49	L	6h	6	C6	C6_6h	32069.811835			cluster_3
UL49	L	8h	8	C6	C6_8h	35713.849945			cluster_3
UL49	L	12h	12	NRK	NRK_12h	38143.731487			cluster_3
UL49	L	1h	1	NRK	NRK_1h	21052.631579			cluster_3
UL49	L	2h	2	NRK	NRK_2h	22058.823529			cluster_3
UL49	L	4h	4	NRK	NRK_4h	38793.756631			cluster_3
UL49	L	6h	6	NRK	NRK_6h	36327.098466			cluster_3
UL49	L	8h	8	NRK	NRK_8h	33392.912383			cluster_3
UL49	L	0.5h	0.5	PC_12	PC_12_0.5h	33333.333334			cluster_3
