gene	Kinetic_class	hpi	Time	cell_line	group	mean	sd	varcoeff	cluster
UL54	E	6h	6	NRK	NRK_dcDNA_6h	0.00186415614028401	0.00109995000988257	0.5900525101481	cluster_2
UL54	E	6h	6	PC-12	PC-12_dcDNA_6h	0.00198986038089215	0.00112072450645647	0.563217659499305	cluster_2
UL54	E	6h	6	PK-15	PK-15_dcDNA_6h	0.0013554754647591	0.000452289495955413	0.333675900239032	cluster_2
UL54	E	8h	8	C6	C6_dcDNA_8h	0.00199307255670802	0.00102371164566076	0.513634911190408	cluster_2
UL54	E	8h	8	NRK	NRK_dcDNA_8h	0.00226448829640859	0.00103201896188195	0.455740470603755	cluster_2
UL54	E	8h	8	PC-12	PC-12_dcDNA_8h	0.00149500666314205	0.000207507456082126	0.138800355341566	cluster_2
UL54	E	8h	8	PK-15	PK-15_dcDNA_8h	0.000856733846831356	0.000129704786776335	0.151394493466145	cluster_2
UL53	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_1
UL53	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_1
UL53	L	12h	12	C6	C6_dcDNA_12h	0.000403259130027766	0.000130335518013537	0.3232053741835	cluster_1
UL53	L	12h	12	NRK	NRK_dcDNA_12h	0.000219838948414573	0.000190402495820075	0.866099920843022	cluster_1
UL53	L	12h	12	PC-12	PC-12_dcDNA_12h	0.000136293380992774	3.83227834899812e-05	0.281178610515304	cluster_1
UL53	L	12h	12	PK-15	PK-15_dcDNA_12h	0.000212658858913288	2.5158835498641e-05	0.118306077758555	cluster_1
UL53	L	1h	1	C6	C6_dcDNA_1h	0	0		cluster_1
UL53	L	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_1
UL53	L	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_1
UL53	L	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_1
UL53	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0	0		cluster_1
UL53	L	2h	2	C6	C6_dcDNA_2h	0	0		cluster_1
UL53	L	2h	2	NRK	NRK_dcDNA_2h	0	0		cluster_1
UL53	L	2h	2	PC-12	PC-12_dcDNA_2h	0	0		cluster_1
UL53	L	2h	2	PK-15	PK-15_dcDNA_2h	0.000277315585135885	0.000480324683186045	1.73205080756888	cluster_1
UL53	L	4h	4	C6	C6_dcDNA_4h	0.00129198966408269	0.00223779174104506	1.73205080756888	cluster_1
UL53	L	4h	4	NRK	NRK_dcDNA_4h	0.000980392156862745	0.00169808902702831	1.73205080756888	cluster_1
UL53	L	4h	4	PC-12	PC-12_dcDNA_4h	0.00013745704467354	0.000238082585232835	1.73205080756888	cluster_1
UL53	L	4h	4	PK-15	PK-15_dcDNA_4h	0.00037574362047898	0.00037628049390784	1.00142882912603	cluster_1
UL53	L	6h	6	C6	C6_dcDNA_6h	0.000938607760812023	0.000794209831322594	0.846157324157958	cluster_1
UL53	L	6h	6	NRK	NRK_dcDNA_6h	0.000959400140239495	0.000635362342636361	0.662249582825531	cluster_1
UL53	L	6h	6	PC-12	PC-12_dcDNA_6h	0.000300362393063179	0.00026291359573829	0.875321284589006	cluster_1
UL53	L	6h	6	PK-15	PK-15_dcDNA_6h	0.000476787408685569	0.000135327868936911	0.283832723917751	cluster_1
UL53	L	8h	8	C6	C6_dcDNA_8h	0.000120481927710843	0.000208680820189021	1.73205080756888	cluster_1
UL53	L	8h	8	NRK	NRK_dcDNA_8h	0.00100452384969787	0.0015391413022852	1.53220981537485	cluster_1
UL53	L	8h	8	PC-12	PC-12_dcDNA_8h	0.000350949768667673	1.96301118686459e-05	0.0559342493461917	cluster_1
UL53	L	8h	8	PK-15	PK-15_dcDNA_8h	0.000456074024795097	8.22336359861033e-05	0.180307650765792	cluster_1
UL52	E	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_3
UL52	E	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_3
UL52	E	12h	12	C6	C6_dcDNA_12h	0.000148301355162921	7.28390756026025e-05	0.491155832814765	cluster_3
UL52	E	12h	12	NRK	NRK_dcDNA_12h	3.20632410560047e-05	3.4707940692605e-05	1.08248385220885	cluster_3
UL52	E	12h	12	PC-12	PC-12_dcDNA_12h	3.47952491281656e-05	3.7531794086509e-05	1.07864708622328	cluster_3
UL52	E	12h	12	PK-15	PK-15_dcDNA_12h	1.07717305684012e-05	5.33844688379354e-06	0.495597884656886	cluster_3
UL52	E	1h	1	C6	C6_dcDNA_1h	0	0		cluster_3
UL52	E	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_3
UL52	E	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_3
UL52	E	1h	1	PK-15	PK-15_dcDNA_1h	0.00694444444444444	0.0120281306081172	1.73205080756888	cluster_3
UL52	E	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0	0		cluster_3
UL52	E	2h	2	C6	C6_dcDNA_2h	0.00261780104712042	0.00370212974443219	1.4142135623731	cluster_3
UL52	E	2h	2	NRK	NRK_dcDNA_2h	0	0		cluster_3
UL52	E	2h	2	PC-12	PC-12_dcDNA_2h	0	0		cluster_3
UL52	E	2h	2	PK-15	PK-15_dcDNA_2h	0.00116550116550117	0.00201870723492876	1.73205080756888	cluster_3
UL52	E	4h	4	C6	C6_dcDNA_4h	0	0		cluster_3
UL52	E	4h	4	NRK	NRK_dcDNA_4h	0	0		cluster_3
UL52	E	4h	4	PC-12	PC-12_dcDNA_4h	0	0		cluster_3
UL52	E	4h	4	PK-15	PK-15_dcDNA_4h	0.000187336080929187	0.000324475610260187	1.73205080756888	cluster_3
UL52	E	6h	6	C6	C6_dcDNA_6h	0.000115580212667591	0.000200190800689884	1.73205080756888	cluster_3
UL52	E	6h	6	NRK	NRK_dcDNA_6h	0.000187687687687688	0.000325084611030195	1.73205080756888	cluster_3
UL52	E	6h	6	PC-12	PC-12_dcDNA_6h	8.8667224745647e-05	8.24107699836318e-05	0.929438924247797	cluster_3
UL52	E	6h	6	PK-15	PK-15_dcDNA_6h	6.69049397090353e-05	4.43263693047334e-05	0.66252760255828	cluster_3
UL52	E	8h	8	C6	C6_dcDNA_8h	3.87551835057939e-05	6.71259468886904e-05	1.73205080756888	cluster_3
UL52	E	8h	8	NRK	NRK_dcDNA_8h	0.000210518834000615	0.000198575370270579	0.943266531060106	cluster_3
UL52	E	8h	8	PC-12	PC-12_dcDNA_8h	0.000214138385960632	0.000173850401042668	0.811860051446493	cluster_3
UL52	E	8h	8	PK-15	PK-15_dcDNA_8h	6.58094403319435e-05	2.57705248231281e-06	0.0391593131519449	cluster_3
UL51	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_4
UL51	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.00647249190938511	0.0112106848386335	1.73205080756888	cluster_4
UL51	L	12h	12	C6	C6_dcDNA_12h	0.00345303745788545	0.000467827347065019	0.135482847426597	cluster_4
UL51	L	12h	12	NRK	NRK_dcDNA_12h	0.00205394988735177	0.00048896536890487	0.238061002323338	cluster_4
UL51	L	12h	12	PC-12	PC-12_dcDNA_12h	0.00224251923694752	0.000602000158039283	0.268448157822144	cluster_4
UL51	L	12h	12	PK-15	PK-15_dcDNA_12h	0.000803962305947904	0.000227964181527778	0.283550832969711	cluster_4
UL51	L	1h	1	C6	C6_dcDNA_1h	0.00579257487152224	0.00584873978769254	1.00969601902712	cluster_4
UL51	L	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_4
UL51	L	1h	1	PC-12	PC-12_dcDNA_1h	0.0066006600660066	0.0114326785978144	1.73205080756888	cluster_4
UL51	L	1h	1	PK-15	PK-15_dcDNA_1h	0.00694444444444444	0.0120281306081172	1.73205080756888	cluster_4
UL51	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.00170068027210884	0.00294566463872258	1.73205080756888	cluster_4
UL51	L	2h	2	C6	C6_dcDNA_2h	0.00545871013802951	0.00031552242140047	0.0578016442386823	cluster_4
UL51	L	2h	2	NRK	NRK_dcDNA_2h	0.00387596899224806	0.00671337522313518	1.73205080756888	cluster_4
UL51	L	2h	2	PC-12	PC-12_dcDNA_2h	0.00652833993221814	0.00865730983629148	1.32611198653529	cluster_4
UL51	L	2h	2	PK-15	PK-15_dcDNA_2h	0.00512640348397957	0.00470978561860717	0.918730964764212	cluster_4
UL51	L	4h	4	C6	C6_dcDNA_4h	0.00624124185569874	0.00282085578998754	0.45197027373837	cluster_4
UL51	L	4h	4	NRK	NRK_dcDNA_4h	0.0115291830140606	0.00502398828119885	0.435762731415725	cluster_4
UL51	L	4h	4	PC-12	PC-12_dcDNA_4h	0.00686836885387871	0.00226612570343928	0.329936517920052	cluster_4
UL51	L	4h	4	PK-15	PK-15_dcDNA_4h	0.014139608615492	0.00292680983180248	0.206993694902965	cluster_4
UL51	L	6h	6	C6	C6_dcDNA_6h	0.00438262266195604	0.00158179774605442	0.360924922828841	cluster_4
UL51	L	6h	6	NRK	NRK_dcDNA_6h	0.00652662003686055	0.00214982824729025	0.329393811061256	cluster_4
UL51	L	6h	6	PC-12	PC-12_dcDNA_6h	0.0047728931025858	0.000918812283248059	0.192506361131423	cluster_4
UL51	L	6h	6	PK-15	PK-15_dcDNA_6h	0.00574016275924861	0.000470638065090809	0.0819903694076466	cluster_4
UL51	L	8h	8	C6	C6_dcDNA_8h	0.00502861575854636	0.00142405784854114	0.283190825650356	cluster_4
UL51	L	8h	8	NRK	NRK_dcDNA_8h	0.0034371652641422	0.00125073052864373	0.363884315279168	cluster_4
UL51	L	8h	8	PC-12	PC-12_dcDNA_8h	0.00368795082503708	0.00187873539928234	0.509425284775443	cluster_4
UL51	L	8h	8	PK-15	PK-15_dcDNA_8h	0.00343474253601249	0.000798893715249472	0.23259202309147	cluster_4
UL50	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_4
UL50	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.0330052635845194	0.00452388495904695	0.137065560693441	cluster_4
UL50	L	12h	12	C6	C6_dcDNA_12h	0.00302801985579214	0.000699230192839009	0.230919949716145	cluster_4
UL50	L	12h	12	NRK	NRK_dcDNA_12h	0.00575309245281977	0.000820160143764994	0.142559875491486	cluster_4
UL50	L	12h	12	PC-12	PC-12_dcDNA_12h	0.00136646307805821	0.000115881382501986	0.0848038884933921	cluster_4
UL50	L	12h	12	PK-15	PK-15_dcDNA_12h	0.000855900661954998	0.000120032127916036	0.140240723312289	cluster_4
UL50	L	1h	1	C6	C6_dcDNA_1h	0.0204186602870813	0.00541666776730352	0.265280272610764	cluster_4
UL50	L	1h	1	NRK	NRK_dcDNA_1h	0.0532967032967033	0.0167289421402619	0.313883244281203	cluster_4
UL50	L	1h	1	PC-12	PC-12_dcDNA_1h	0.0190692027335884	0.00265086298617456	0.13901278533818	cluster_4
UL50	L	1h	1	PK-15	PK-15_dcDNA_1h	0.00813008130081301	0.0140817138826738	1.73205080756888	cluster_4
UL50	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.0230532833916293	0.00300181377141056	0.130211984141944	cluster_4
UL50	L	2h	2	C6	C6_dcDNA_2h	0.021834840552118	0.00126208968560188	0.0578016442386823	cluster_4
UL50	L	2h	2	NRK	NRK_dcDNA_2h	0.0332118813068838	0.0187484779281123	0.564511168604784	cluster_4
UL50	L	2h	2	PC-12	PC-12_dcDNA_2h	0.0167668906591157	0.00928914604700381	0.554017213797093	cluster_4
UL50	L	2h	2	PK-15	PK-15_dcDNA_2h	0.0158842213374981	0.00448851978697295	0.282577262781955	cluster_4
UL50	L	4h	4	C6	C6_dcDNA_4h	0.00881038598015395	0.00244166775429388	0.277135162953578	cluster_4
UL50	L	4h	4	NRK	NRK_dcDNA_4h	0.0154507516415116	0.00222334540140275	0.143898850553605	cluster_4
UL50	L	4h	4	PC-12	PC-12_dcDNA_4h	0.0114880602541315	0.00203917129605321	0.177503534186274	cluster_4
UL50	L	4h	4	PK-15	PK-15_dcDNA_4h	0.00840275282971394	0.00128877975408497	0.153375897185452	cluster_4
UL50	L	6h	6	C6	C6_dcDNA_6h	0.00917412964892683	0.00356588932355214	0.388689658857096	cluster_4
UL50	L	6h	6	NRK	NRK_dcDNA_6h	0.00673377616922107	0.000620348532028304	0.0921249112591254	cluster_4
UL50	L	6h	6	PC-12	PC-12_dcDNA_6h	0.00559647207107764	0.00120964200794218	0.216143669186444	cluster_4
UL50	L	6h	6	PK-15	PK-15_dcDNA_6h	0.00369826024824441	0.000918063581974456	0.24824201661045	cluster_4
UL50	L	8h	8	C6	C6_dcDNA_8h	0.00661446005329362	0.000515234153352945	0.0778951190575847	cluster_4
UL50	L	8h	8	NRK	NRK_dcDNA_8h	0.00823863455348729	0.00216128853432958	0.262335769392119	cluster_4
UL50	L	8h	8	PC-12	PC-12_dcDNA_8h	0.00238626167002901	0.000752900658315265	0.315514709795474	cluster_4
UL50	L	8h	8	PK-15	PK-15_dcDNA_8h	0.00274578045610666	0.000364710922837241	0.132825959200823	cluster_4
UL49.5	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_4
UL49.5	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0.0426603981288519	0.0195395677592734	0.458025912000538	cluster_4
UL49.5	L	12h	12	C6	C6_dcDNA_12h	0.0173976787757769	0.00194402828896283	0.111740670351354	cluster_4
UL49.5	L	12h	12	NRK	NRK_dcDNA_12h	0.0116254891004263	0.00474449350856789	0.408111303325202	cluster_4
UL49.5	L	12h	12	PC-12	PC-12_dcDNA_12h	0.014045954888424	0.00195463032807404	0.139159661525394	cluster_4
UL49.5	L	12h	12	PK-15	PK-15_dcDNA_12h	0.0147565074415478	0.00236219113795202	0.160077928148577	cluster_4
UL49.5	L	1h	1	C6	C6_dcDNA_1h	0.0357363104731526	0.00941071730640825	0.263337686006455	cluster_4
UL49.5	L	1h	1	NRK	NRK_dcDNA_1h	0.0294871794871795	0.0261802280213617	0.887851211159223	cluster_4
UL49.5	L	1h	1	PC-12	PC-12_dcDNA_1h	0.0407059580357487	0.027772805212065	0.682278628295014	cluster_4
UL49.5	L	1h	1	PK-15	PK-15_dcDNA_1h	0.0248784473138849	0.00431000326352473	0.17324245396614	cluster_4
UL49.5	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.045614264599227	0.000646492608707997	0.0141730358778809	cluster_4
UL49.5	L	2h	2	C6	C6_dcDNA_2h	0.0291602213231794	0.0190260020104484	0.65246425257152	cluster_4
UL49.5	L	2h	2	NRK	NRK_dcDNA_2h	0.0279539581865163	0.0305749581352473	1.09376131749368	cluster_4
UL49.5	L	2h	2	PC-12	PC-12_dcDNA_2h	0.0432622095541066	0.00445930635430686	0.103076250618447	cluster_4
UL49.5	L	2h	2	PK-15	PK-15_dcDNA_2h	0.0535926474899155	0.0258580193050536	0.4824919185028	cluster_4
UL49.5	L	4h	4	C6	C6_dcDNA_4h	0.0131502536501369	0.00322435943040432	0.245193706234767	cluster_4
UL49.5	L	4h	4	NRK	NRK_dcDNA_4h	0.0180575307872785	0.00519149849778632	0.287497696055085	cluster_4
UL49.5	L	4h	4	PC-12	PC-12_dcDNA_4h	0.0184560153387006	0.00353883597606677	0.191744312687374	cluster_4
UL49.5	L	4h	4	PK-15	PK-15_dcDNA_4h	0.0337456286716499	0.00255206389800359	0.075626503297229	cluster_4
UL49.5	L	6h	6	C6	C6_dcDNA_6h	0.0184270490837444	0.000192011802840964	0.0104201058980382	cluster_4
UL49.5	L	6h	6	NRK	NRK_dcDNA_6h	0.0128416041699759	0.00147131609283361	0.114574166385972	cluster_4
UL49.5	L	6h	6	PC-12	PC-12_dcDNA_6h	0.020150769400269	0.000770456338181416	0.0382345866243266	cluster_4
UL49.5	L	6h	6	PK-15	PK-15_dcDNA_6h	0.0148705018826769	0.00415948557500647	0.279713866271855	cluster_4
UL49.5	L	8h	8	C6	C6_dcDNA_8h	0.0189453486355717	0.00291118450574536	0.153662229275598	cluster_4
UL49.5	L	8h	8	NRK	NRK_dcDNA_8h	0.0135122986749258	0.00171057111725953	0.126593643199566	cluster_4
UL49.5	L	8h	8	PC-12	PC-12_dcDNA_8h	0.0178087062904138	0.00377347053537014	0.21188908805809	cluster_4
UL49.5	L	8h	8	PK-15	PK-15_dcDNA_8h	0.014229673678662	0.00209900971607304	0.147509336016651	cluster_4
UL49	L	0.5h	0.5	PC-12	PC-12_dcDNA_0.5h	0	0		cluster_1
UL49	L	1.5h	1.5	PC-12	PC-12_dcDNA_1.5h	0	0		cluster_1
UL49	L	12h	12	C6	C6_dcDNA_12h	0.00837096887645086	0.000522750376340957	0.0624480133729268	cluster_1
UL49	L	12h	12	NRK	NRK_dcDNA_12h	0.00808539084998359	0.0019721308328827	0.243912863270759	cluster_1
UL49	L	12h	12	PC-12	PC-12_dcDNA_12h	0.00696819467148228	0.00100772916414172	0.144618399980401	cluster_1
UL49	L	12h	12	PK-15	PK-15_dcDNA_12h	0.00845980672994759	0.00198146419956144	0.23422097724137	cluster_1
UL49	L	1h	1	C6	C6_dcDNA_1h	0.00378787878787879	0.00656079851351848	1.73205080756888	cluster_1
UL49	L	1h	1	NRK	NRK_dcDNA_1h	0	0		cluster_1
UL49	L	1h	1	PC-12	PC-12_dcDNA_1h	0	0		cluster_1
UL49	L	1h	1	PK-15	PK-15_dcDNA_1h	0	0		cluster_1
UL49	L	2.5h	2.5	PC-12	PC-12_dcDNA_2.5h	0.0139795459344332	0.00178337862796761	0.127570568910608	cluster_1
UL49	L	2h	2	C6	C6_dcDNA_2h	0.00807651118514993	0.00338660732303172	0.419315623466056	cluster_1
UL49	L	2h	2	NRK	NRK_dcDNA_2h	0.0148441365660564	0.0128934331724843	0.868587614719692	cluster_1
UL49	L	2h	2	PC-12	PC-12_dcDNA_2h	0.00804328422645398	0.00650406344518028	0.808632799993406	cluster_1
UL49	L	2h	2	PK-15	PK-15_dcDNA_2h	0.00534748024415782	0.001928208231801	0.360582581657517	cluster_1
UL49	L	4h	4	C6	C6_dcDNA_4h	0.00634317748620101	0.00457692638028893	0.721551050754233	cluster_1
UL49	L	4h	4	NRK	NRK_dcDNA_4h	0.00705658117111301	0.0043612750156584	0.618043626212623	cluster_1
UL49	L	4h	4	PC-12	PC-12_dcDNA_4h	0.00487477023591075	0.00108004978986162	0.22155911716726	cluster_1
UL49	L	4h	4	PK-15	PK-15_dcDNA_4h	0.00832234228211403	0.000695113654769343	0.0835238002963717	cluster_1
UL49	L	6h	6	C6	C6_dcDNA_6h	0.00509561869705915	0.000968139163819004	0.189994428817397	cluster_1
UL49	L	6h	6	NRK	NRK_dcDNA_6h	0.00564282573861709	0.0012862807991313	0.227949764659317	cluster_1
UL49	L	6h	6	PC-12	PC-12_dcDNA_6h	0.00560431598194084	0.000865221984791041	0.154384939674905	cluster_1
UL49	L	6h	6	PK-15	PK-15_dcDNA_6h	0.00634618140164308	0.000173198966141487	0.0272918397978105	cluster_1
UL49	L	8h	8	C6	C6_dcDNA_8h	0.00583220030982731	0.000425012023478328	0.0728733584068056	cluster_1
UL49	L	8h	8	NRK	NRK_dcDNA_8h	0.00825378526248007	0.00183988860887642	0.222914523502344	cluster_1
UL49	L	8h	8	PC-12	PC-12_dcDNA_8h	0.00793254693490086	0.0029631469086152	0.373542940613214	cluster_1
