cluster	0.5h	1.5h	12h	1h	2.5h	2h	4h	6h	8h
	0	0	2.73674089303886e-05	0	0	0.00105708245243129	0.000152346130408288	0.000115187773805276	3.17087865047405e-05
cluster_1	0.00933441558441558	0.0101758157193142	0.0293035420502081	0.00989967702226346	0.0152056590026515	0.0120551995406398	0.0200920658476964	0.0243796677312623	0.0258691566037962
cluster_10	0	0.00592803325788194	0.00284209179347648	0.010908306594366	0.00518007472894691	0.00473957701114917	0.00335811351314442	0.00359341166833046	0.00400107362255046
cluster_11	0	0	1.75274744135879e-05	0	0	0	0	2.57233403300819e-06	9.84916827156446e-06
cluster_12	0	0.0121474710128064	0.00295588194263792	0.0157787957363747	0.00675767945504788	0.0169699475205207	0.00692861935692228	0.00562657780950179	0.00568686063108276
cluster_2	0	0.00857711222501424	0.00057802272206588	0.00355100777720971	0.00389729666045455	0.00402856144716625	0.00161887198747407	0.00136029336286015	0.00112016422569912
cluster_3	0.03125	0	0.000546573109517277	0.0625313377002251	0	0.00559970226357763	0.000420255837744582	0.000826031550323506	0.000715938077995412
cluster_4	0.0457589285714286	0.0402569374898132	0.0174553570426779	0.0323789785285882	0.0365669209654172	0.036018385060305	0.0298117681440849	0.0240128172174002	0.0216957681437901
cluster_5	0	0	8.50160763402019e-06	0	0	0	0	2.22691358684518e-06	0
cluster_6	0	0.00151975683890577	0.00647495015601859	0.00209450158939208	0.00123395222750754	0.00301541471674761	0.00336401204109826	0.00416163525001511	0.00465904602497142
cluster_7	0	0.000709219858156028	0.000395846681242395	0.00116499388337249	0.000608664518438955	0.00309278926274139	0.000701760920196497	0.000732936323469058	0.000702719313157029
cluster_8	0	0	0.00125308959760392	0.000482714572626853	0.000923018780161637	0.00113107434399652	0.00181148815292886	0.00112923259125424	0.00155449567213771
cluster_9	0	0	4.36336401601025e-06	0	0	0	0	1.90258751902588e-05	5.38790094973511e-06
